"osm_id","date_time","link_dir","speed_kmph","n_time","n_day","stores","n_month","highway","road_lt_m","bus_stop"
176665188,"2018-04-01 09:00:00",1,38,"09:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
176665188,"2018-04-01 09:15:00",1,40,"09:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 09:00:00",1,38,"09:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 09:15:00",1,34,"09:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 09:00:00",1,23,"09:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
174019380,"2018-04-01 09:15:00",1,28,"09:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 09:30:00",1,43,"09:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 09:30:00",1,48,"09:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 09:30:00",1,44,"09:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 09:45:00",1,42,"09:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 09:45:00",1,21,"09:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 09:30:00",1,39,"09:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 09:45:00",1,43,"09:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 10:00:00",1,35,"10:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 10:00:00",1,38,"10:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 10:00:00",1,33,"10:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 10:00:00",1,29,"10:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 10:15:00",1,41,"10:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 10:15:00",1,14,"10:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 10:15:00",1,16,"10:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 10:15:00",1,37,"10:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 10:30:00",1,36,"10:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 10:30:00",1,31,"10:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 10:30:00",1,33,"10:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 10:30:00",1,41,"10:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 10:45:00",1,41,"10:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 10:45:00",1,24,"10:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 10:45:00",1,36,"10:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 11:00:00",1,28,"11:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 11:00:00",1,36,"11:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 11:00:00",1,26,"11:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 11:30:00",1,45,"11:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 11:15:00",1,27,"11:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 11:15:00",1,38,"11:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 11:00:00",1,51,"11:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 11:15:00",1,29,"11:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 11:15:00",1,40,"11:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 11:30:00",1,30,"11:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 11:30:00",1,42,"11:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 11:30:00",1,38,"11:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 11:45:00",1,30,"11:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 11:45:00",1,48,"11:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 11:45:00",1,36,"11:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 11:45:00",1,39,"11:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
174019380,"2018-04-01 12:00:00",1,33,"12:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 12:00:00",1,37,"12:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 12:15:00",1,32,"12:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 12:00:00",1,33,"12:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
176665188,"2018-04-01 12:15:00",1,33,"12:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 12:00:00",1,38,"12:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 12:15:00",1,45,"12:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 12:30:00",1,38,"12:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 12:15:00",1,31,"12:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
176665188,"2018-04-01 12:30:00",1,36,"12:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
176665188,"2018-04-01 14:00:00",1,37,"14:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 14:00:00",1,25,"14:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 14:00:00",1,33,"14:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 14:00:00",1,39,"14:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
176665188,"2018-04-01 14:15:00",1,35,"14:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 14:15:00",1,36,"14:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 14:15:00",1,27,"14:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 14:30:00",1,30,"14:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 14:15:00",1,35,"14:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 14:30:00",1,30,"14:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 14:30:00",1,33,"14:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 14:30:00",1,34,"14:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 14:45:00",1,32,"14:45","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
197107696,"2018-04-01 14:45:00",1,30,"14:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 14:45:00",1,25,"14:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
174019380,"2018-04-01 14:45:00",1,24,"14:45","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
197107696,"2018-04-01 15:00:00",1,35,"15:00","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
13769164,"2018-04-01 15:00:00",1,39,"15:00","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 15:00:00",1,34,"15:00","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 15:00:00",1,19,"15:00","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 15:15:00",1,25,"15:15","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 15:15:00",1,41,"15:15","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
174019380,"2018-04-01 15:15:00",1,19,"15:15","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
176665188,"2018-04-01 15:15:00",1,34,"15:15","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
13769164,"2018-04-01 15:30:00",1,21,"15:30","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
176665188,"2018-04-01 15:30:00",1,29,"15:30","SUNDAY   ","CLOSED","APRIL    ","primary",542,"yes"
174019380,"2018-04-01 15:30:00",1,25,"15:30","SUNDAY   ","CLOSED","APRIL    ","primary",42,"no"
13769164,"2018-04-01 15:45:00",1,27,"15:45","SUNDAY   ","CLOSED","APRIL    ","primary",72,"no"
197107696,"2018-04-01 15:30:00",1,30,"15:30","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
197107696,"2018-04-01 15:45:00",1,37,"15:45","SUNDAY   ","CLOSED","APRIL    ",NULL,NULL,NULL
